Date,Time,Temperature,Humidity,Light Intensity,Ground Temperature,Ground Humidity
2024-11-13,05:39,22.5,47.0,607,6.2,54.5
2024-11-13,05:34,29.3,57.7,752,10.2,51.6
2024-11-13,05:29,21.7,43.5,323,10.7,56.7
2024-11-13,05:24,21.3,52.4,241,19.2,33.7
2024-11-13,05:19,26.9,64.1,493,6.3,59.0
2024-11-13,05:14,21.3,41.6,762,2.2,36.0
2024-11-13,05:09,20.3,57.2,423,15.1,32.7
2024-11-13,05:04,24.5,41.9,271,12.0,29.4
2024-11-13,04:59,21.7,46.0,620,14.2,47.1
2024-11-13,04:54,28.1,60.9,304,11.9,50.4
2024-11-13,04:49,24.2,40.8,379,5.6,37.4
2024-11-13,04:44,29.8,46.1,627,4.6,45.8
2024-11-13,04:39,26.4,43.8,455,6.0,56.3
2024-11-13,04:34,23.0,58.7,334,12.9,32.9
2024-11-13,04:29,21.3,54.3,485,0.6,49.8
2024-11-13,04:24,28.7,69.1,242,1.2,31.8
2024-11-13,04:19,21.8,50.0,356,16.9,58.3
2024-11-13,04:14,24.7,43.6,447,14.4,47.2
2024-11-13,04:09,24.5,61.9,559,19.9,33.5
2024-11-13,04:04,27.1,59.5,701,10.4,27.6
2024-11-13,03:59,21.8,66.7,603,7.5,35.0
2024-11-13,03:54,20.7,49.2,221,12.2,27.6
2024-11-13,03:49,21.1,41.2,489,4.8,47.5
2024-11-13,03:44,25.0,50.9,475,1.4,58.3
2024-11-13,03:39,25.7,42.8,266,8.0,57.1
2024-11-13,03:34,25.1,45.2,647,12.4,46.0
2024-11-13,03:29,20.1,51.6,634,7.7,38.5
2024-11-13,03:24,22.1,65.8,292,12.4,32.9
2024-11-13,03:19,22.5,64.4,608,8.6,42.9
2024-11-13,03:14,21.6,53.0,490,17.6,59.4
2024-11-13,03:09,26.2,52.5,585,5.6,37.0
2024-11-13,03:04,29.2,62.1,553,6.9,35.6
2024-11-13,02:59,23.1,62.0,561,7.3,45.0
2024-11-13,02:54,27.2,52.0,464,0.3,42.8
2024-11-13,02:49,26.5,66.2,475,18.1,28.5
2024-11-13,02:44,22.5,62.8,425,4.6,47.8
2024-11-13,02:39,20.1,40.0,585,8.2,54.1
2024-11-13,02:34,22.0,61.3,224,9.2,53.6
2024-11-13,02:29,20.9,63.2,259,2.6,49.5
2024-11-13,02:24,20.3,66.9,408,4.0,41.0
2024-11-13,02:19,28.1,59.0,789,5.5,30.7
2024-11-13,02:14,24.7,60.5,628,4.0,53.5
2024-11-13,02:09,22.7,41.5,578,16.6,38.5
2024-11-13,02:04,24.7,49.0,752,18.6,22.9
2024-11-13,01:59,26.1,56.0,584,1.8,58.6
2024-11-13,01:54,21.8,40.6,457,1.5,50.5
2024-11-13,01:49,20.7,52.3,769,4.5,29.5
2024-11-13,01:44,22.4,58.4,596,8.1,56.0
2024-11-13,01:39,29.1,66.3,353,6.2,34.2
2024-11-13,01:34,24.1,59.8,287,1.3,21.8
2024-11-13,01:29,28.8,56.9,388,15.3,54.4
2024-11-13,01:24,27.3,67.7,226,18.5,23.8
2024-11-13,01:19,22.5,53.9,453,6.5,28.0
2024-11-13,01:14,25.8,50.5,288,15.5,42.7
2024-11-13,01:09,22.5,42.3,342,3.5,52.9
2024-11-13,01:04,25.1,48.9,529,17.3,57.2
2024-11-13,00:59,20.2,44.2,529,4.6,29.3
2024-11-13,00:54,21.8,44.5,520,1.5,39.4
2024-11-13,00:49,26.5,45.7,430,14.0,20.7
2024-11-13,00:44,24.3,40.1,573,6.2,33.4
2024-11-13,00:39,20.7,41.9,483,14.9,39.1
2024-11-13,00:34,26.4,68.1,722,4.5,28.7
2024-11-13,00:29,24.8,45.3,343,10.6,52.4
2024-11-13,00:24,21.1,59.0,762,10.3,36.1
2024-11-13,00:19,28.7,64.8,579,2.9,31.6
2024-11-13,00:14,28.8,48.6,482,18.4,49.1
2024-11-13,00:09,22.9,67.4,627,10.9,20.8
2024-11-13,00:04,29.0,59.6,800,2.6,27.7
2024-11-12,23:59,25.8,59.9,202,3.4,39.0
2024-11-12,23:54,22.1,64.7,342,0.5,28.8
2024-11-12,23:49,20.6,62.2,562,0.7,58.4
2024-11-12,23:44,20.7,40.5,347,2.4,45.8
2024-11-12,23:39,21.8,57.3,449,6.7,39.2
2024-11-12,23:34,22.8,46.8,267,1.0,24.5
2024-11-12,23:29,21.4,66.9,356,18.8,39.2
2024-11-12,23:24,27.6,67.1,798,14.4,44.1
2024-11-12,23:19,28.7,66.9,570,12.7,21.9
2024-11-12,23:14,29.7,54.6,249,7.0,49.7
2024-11-12,23:09,22.1,51.2,266,10.4,38.7
2024-11-12,23:04,24.0,63.7,233,15.2,32.5
2024-11-12,22:59,23.1,58.9,582,6.6,46.3
2024-11-12,22:54,27.8,58.4,736,9.7,25.0
2024-11-12,22:49,24.4,57.3,428,6.7,36.5
2024-11-12,22:44,26.5,51.2,274,0.6,27.9
2024-11-12,22:39,29.8,46.2,445,16.8,59.0
2024-11-12,22:34,28.0,59.4,777,15.1,27.1
2024-11-12,22:29,28.5,60.0,282,8.7,37.2
2024-11-12,22:24,30.0,49.7,612,15.5,58.1
2024-11-12,22:19,23.9,66.7,432,5.9,40.5
2024-11-12,22:14,29.2,54.0,794,10.6,50.9
2024-11-12,22:09,29.1,40.8,703,11.0,35.2
2024-11-12,22:04,26.9,40.9,557,16.6,21.7
2024-11-12,21:59,20.4,44.0,557,16.7,28.9
2024-11-12,21:54,26.0,62.4,773,4.2,59.9
2024-11-12,21:49,29.0,55.8,789,0.7,41.4
2024-11-12,21:44,29.0,63.9,269,6.6,55.9
2024-11-12,21:39,20.2,52.7,789,12.4,53.5
2024-11-12,21:34,29.9,41.0,754,8.5,39.0
2024-11-12,21:29,22.4,43.0,481,17.4,42.9
2024-11-12,21:24,22.1,41.3,371,18.0,35.0
2024-11-12,21:19,21.6,51.9,555,4.2,25.1
2024-11-12,21:14,20.9,44.6,645,14.4,22.9
2024-11-12,21:09,23.3,57.5,589,0.7,42.3
2024-11-12,21:04,23.3,55.9,711,7.0,20.9
2024-11-12,20:59,21.9,68.5,302,4.2,24.3
2024-11-12,20:54,22.3,40.1,772,9.9,20.1
2024-11-12,20:49,28.0,54.5,470,11.5,44.0
2024-11-12,20:44,21.3,40.7,634,11.2,32.7
2024-11-12,20:39,24.2,51.8,705,4.3,50.5
2024-11-12,20:34,28.7,49.8,324,1.4,34.0
2024-11-12,20:29,26.2,47.8,490,10.8,34.0
2024-11-12,20:24,28.7,69.0,314,14.5,52.9
2024-11-12,20:19,22.2,50.4,735,6.6,45.2
2024-11-12,20:14,20.4,56.2,452,1.8,51.4
2024-11-12,20:09,26.4,59.9,688,8.5,45.2
2024-11-12,20:04,27.6,53.2,717,12.3,43.0
2024-11-12,19:59,20.0,66.1,221,16.4,56.0
2024-11-12,19:54,21.3,56.1,683,0.3,46.9
2024-11-12,19:49,29.5,54.7,520,9.6,47.5
2024-11-12,19:44,23.0,50.0,593,11.6,40.4
2024-11-12,19:39,24.6,57.8,791,15.5,40.4
2024-11-12,19:34,28.2,56.8,320,1.6,38.9
2024-11-12,19:29,28.2,44.7,689,2.0,28.5
2024-11-12,19:24,22.8,62.2,328,7.8,58.8
2024-11-12,19:19,20.3,50.1,254,8.6,25.4
2024-11-12,19:14,29.9,59.8,329,18.9,21.0
2024-11-12,19:09,27.1,57.8,260,19.7,39.6
2024-11-12,19:04,21.1,69.8,512,18.1,46.7
2024-11-12,18:59,20.7,49.0,221,16.5,44.6
2024-11-12,18:54,22.3,56.9,548,10.2,53.8
2024-11-12,18:49,22.2,49.4,281,5.1,34.0
2024-11-12,18:44,27.8,69.0,333,15.1,34.0
2024-11-12,18:39,23.0,45.9,716,10.5,36.9
2024-11-12,18:34,28.4,44.9,303,5.5,34.1
2024-11-12,18:29,27.5,67.9,413,12.1,56.3
2024-11-12,18:24,23.6,43.3,342,16.5,29.9
2024-11-12,18:19,27.4,69.7,604,5.5,45.4
2024-11-12,18:14,27.0,53.2,705,17.1,21.1
2024-11-12,18:09,21.1,54.3,786,19.0,24.6
2024-11-12,18:04,29.9,49.1,441,14.1,52.1
2024-11-12,17:59,26.2,57.1,768,3.8,59.2
2024-11-12,17:54,28.6,63.9,462,9.3,35.5
2024-11-12,17:49,26.2,45.4,625,18.5,52.0
2024-11-12,17:44,21.0,65.2,749,13.0,50.4
2024-11-12,17:39,22.9,65.6,552,2.9,25.4
2024-11-12,17:34,27.0,64.1,618,14.4,35.7
2024-11-12,17:29,20.8,45.9,269,0.2,48.2
2024-11-12,17:24,26.4,43.0,428,16.8,42.1
2024-11-12,17:19,26.8,64.9,633,1.0,32.1
2024-11-12,17:14,22.5,57.4,607,10.4,52.3
2024-11-12,17:09,21.2,61.8,443,0.8,42.1
2024-11-12,17:04,26.2,50.1,795,18.3,26.4
2024-11-12,16:59,22.0,58.2,493,12.3,26.3
2024-11-12,16:54,23.6,52.4,509,13.6,56.4
2024-11-12,16:49,29.9,50.4,505,19.8,46.2
2024-11-12,16:44,24.0,55.7,790,5.8,21.7
2024-11-12,16:39,27.5,66.4,364,11.0,31.7
2024-11-12,16:34,20.3,68.2,798,9.2,59.7
2024-11-12,16:29,24.5,68.6,481,14.1,24.8
2024-11-12,16:24,27.8,65.7,743,8.1,23.9
2024-11-12,16:19,22.3,43.6,353,17.7,58.5
2024-11-12,16:14,29.4,69.9,221,4.9,43.8
2024-11-12,16:09,25.1,65.8,556,7.7,40.2
2024-11-12,16:04,26.5,41.9,766,12.4,32.9
2024-11-12,15:59,28.3,63.8,663,16.7,26.4
2024-11-12,15:54,26.6,43.2,399,15.6,55.2
2024-11-12,15:49,27.4,43.6,631,19.7,50.5
2024-11-12,15:44,20.7,45.8,579,10.6,45.4
2024-11-12,15:39,24.2,58.8,649,1.9,35.9
2024-11-12,15:34,21.4,60.0,668,3.8,57.1
2024-11-12,15:29,28.8,49.9,256,18.1,46.7
2024-11-12,15:24,29.5,59.9,767,16.0,43.3
2024-11-12,15:19,29.8,62.4,587,11.4,51.1
2024-11-12,15:14,29.2,49.5,630,1.9,42.8
2024-11-12,15:09,21.5,63.8,559,6.7,40.5
2024-11-12,15:04,29.2,54.9,707,10.8,38.8
2024-11-12,14:59,28.3,65.2,307,14.6,43.8
2024-11-12,14:54,21.3,64.4,555,10.4,25.1
2024-11-12,14:49,27.0,46.4,385,11.9,48.6
2024-11-12,14:44,25.3,52.6,694,4.8,48.9
2024-11-12,14:39,25.6,54.0,383,19.2,27.6
2024-11-12,14:34,23.0,51.7,292,15.9,44.7
2024-11-12,14:29,27.4,66.4,522,15.8,59.6
2024-11-12,14:24,20.4,68.6,240,15.2,46.3
2024-11-12,14:19,28.8,67.8,687,7.6,46.3
2024-11-12,14:14,21.7,57.1,509,19.7,58.8
2024-11-12,14:09,21.5,51.2,589,5.8,52.7
2024-11-12,14:04,29.4,49.8,285,2.2,26.0
2024-11-12,13:59,21.6,62.2,516,4.7,52.3
2024-11-12,13:54,27.7,43.3,345,17.4,53.7
2024-11-12,13:49,27.4,41.8,489,19.6,50.8
2024-11-12,13:44,21.5,62.7,455,18.4,40.9
2024-11-12,13:39,26.9,66.0,634,3.1,43.7
2024-11-12,13:34,27.8,67.2,236,19.9,43.5
2024-11-12,13:29,29.3,63.1,323,13.1,55.7
2024-11-12,13:24,25.8,47.0,275,7.8,20.9
2024-11-12,13:19,29.7,66.0,567,14.1,24.7
2024-11-12,13:14,24.5,56.1,755,17.8,28.6
2024-11-12,13:09,29.3,62.8,799,0.3,55.8
2024-11-12,13:04,21.1,41.6,225,12.2,20.3
2024-11-12,12:59,28.1,59.8,426,4.8,49.8
2024-11-12,12:54,27.3,53.5,794,14.2,21.0
2024-11-12,12:49,26.4,49.8,441,2.5,43.0
2024-11-12,12:44,23.9,69.4,731,14.8,53.9
2024-11-12,12:39,21.8,62.1,347,1.3,32.7
2024-11-12,12:34,26.8,64.9,515,17.9,27.7
2024-11-12,12:29,20.5,50.4,788,19.0,40.2
2024-11-12,12:24,25.6,51.7,695,12.3,29.0
2024-11-12,12:19,25.1,66.5,764,6.7,42.2
2024-11-12,12:14,23.3,65.8,213,19.3,56.8
2024-11-12,12:09,22.9,52.8,439,1.6,52.2
2024-11-12,12:04,21.1,51.0,439,12.3,57.1
2024-11-12,11:59,28.0,56.4,403,7.2,32.1
2024-11-12,11:54,21.5,54.8,472,7.1,57.6
2024-11-12,11:49,27.3,65.9,527,6.7,31.3
2024-11-12,11:44,25.3,62.3,760,9.7,21.7
2024-11-12,11:39,29.2,61.9,579,10.3,56.2
2024-11-12,11:34,28.1,58.2,764,14.9,52.8
2024-11-12,11:29,28.1,47.8,258,12.6,26.7
2024-11-12,11:24,24.8,69.1,260,10.9,51.6
2024-11-12,11:19,29.2,69.9,437,11.9,38.9
2024-11-12,11:14,23.6,54.0,425,7.6,58.7
2024-11-12,11:09,21.7,41.4,629,11.3,42.1
2024-11-12,11:04,29.3,69.2,326,7.9,30.4
2024-11-12,10:59,28.4,51.6,472,10.2,57.4
2024-11-12,10:54,29.0,47.4,568,2.0,39.2
2024-11-12,10:49,29.2,48.3,270,16.4,58.6
2024-11-12,10:44,20.3,52.7,390,6.0,42.9
2024-11-12,10:39,20.3,50.4,266,16.3,52.1
2024-11-12,10:34,23.4,52.1,409,13.0,52.5
2024-11-12,10:29,20.3,68.3,682,18.8,28.8
2024-11-12,10:24,21.1,62.2,281,3.1,44.6
2024-11-12,10:19,29.7,54.9,762,16.5,54.2
2024-11-12,10:14,23.7,42.8,509,12.3,54.9
2024-11-12,10:09,22.8,46.3,640,7.7,56.1
2024-11-12,10:04,22.5,54.5,623,13.3,23.7
2024-11-12,09:59,21.8,67.6,516,8.8,59.7
2024-11-12,09:54,23.4,61.7,609,6.9,50.6
2024-11-12,09:49,22.0,41.2,377,12.9,37.6
2024-11-12,09:44,22.4,68.0,356,7.6,57.4
2024-11-12,09:39,24.2,47.9,456,14.3,25.1
2024-11-12,09:34,28.5,54.6,505,14.1,49.8
2024-11-12,09:29,28.4,58.4,371,2.6,50.7
2024-11-12,09:24,27.6,58.8,778,19.8,58.0
2024-11-12,09:19,24.1,66.3,212,5.1,26.5
2024-11-12,09:14,25.1,50.4,560,5.8,59.7
2024-11-12,09:09,28.9,44.0,604,11.5,25.3
2024-11-12,09:04,22.5,40.8,559,10.5,24.1
2024-11-12,08:59,26.8,41.1,545,1.0,49.5
2024-11-12,08:54,22.7,53.8,281,10.3,29.7
2024-11-12,08:49,29.2,40.5,395,16.7,20.1
2024-11-12,08:44,28.9,63.8,563,9.3,28.7
2024-11-12,08:39,29.4,65.2,652,16.4,53.1
2024-11-12,08:34,22.0,53.6,419,11.1,24.6
2024-11-12,08:29,24.8,42.4,256,13.8,32.5
2024-11-12,08:24,29.1,47.7,346,12.3,57.8
2024-11-12,08:19,25.3,45.7,780,8.5,32.8
2024-11-12,08:14,23.3,62.5,291,18.7,49.8
2024-11-12,08:09,21.4,63.6,565,8.7,33.9
2024-11-12,08:04,25.5,51.2,585,5.6,50.0
2024-11-12,07:59,26.7,55.3,286,10.9,56.0
2024-11-12,07:54,28.6,66.3,430,7.4,42.9
2024-11-12,07:49,26.4,41.9,768,2.7,53.3
2024-11-12,07:44,24.5,61.0,568,2.4,28.5
2024-11-12,07:39,28.0,61.0,221,19.3,41.1
2024-11-12,07:34,22.3,69.5,434,14.7,45.0
2024-11-12,07:29,26.9,42.5,261,7.7,52.0
2024-11-12,07:24,24.3,67.2,342,11.9,24.0
2024-11-12,07:19,23.6,52.9,311,13.7,58.1
2024-11-12,07:14,28.0,67.6,328,2.0,27.8
2024-11-12,07:09,21.8,41.8,501,15.5,27.5
2024-11-12,07:04,24.7,65.9,404,16.6,48.4
2024-11-12,06:59,22.3,44.5,684,1.8,49.3
2024-11-12,06:54,24.8,40.9,728,11.7,25.7
2024-11-12,06:49,20.9,50.0,476,17.5,52.2
2024-11-12,06:44,28.1,60.1,475,13.7,51.6
2024-11-12,06:39,29.6,59.9,598,14.6,50.8
2024-11-12,06:34,23.2,41.9,522,11.6,40.5
2024-11-12,06:29,23.9,57.7,751,9.2,34.1
2024-11-12,06:24,23.1,63.8,617,5.5,36.2
2024-11-12,06:19,24.9,47.3,694,8.3,50.8
2024-11-12,06:14,20.6,51.8,536,5.0,46.5
2024-11-12,06:09,28.8,51.4,408,8.6,42.5
2024-11-12,06:04,22.2,67.2,603,9.9,25.9
2024-11-12,05:59,29.0,50.7,788,12.1,40.3
2024-11-12,05:54,26.9,52.8,688,4.8,20.9
2024-11-12,05:49,27.2,53.7,564,9.3,28.8
2024-11-12,05:44,25.4,57.1,378,3.6,50.6
2024-11-12,05:39,23.7,41.9,474,18.9,38.8
2024-11-12,05:34,25.9,67.5,241,18.4,21.6
2024-11-12,05:29,25.2,43.1,408,6.3,57.0
2024-11-12,05:24,23.8,48.7,726,9.9,24.8
2024-11-12,05:19,24.2,46.8,335,19.2,44.5
2024-11-12,05:14,28.0,50.2,578,9.1,44.9
2024-11-12,05:09,26.4,56.8,310,1.6,51.7
2024-11-12,05:04,27.6,58.2,217,4.6,44.8
2024-11-12,04:59,23.4,53.0,257,17.1,27.0
2024-11-12,04:54,25.4,58.2,609,4.1,37.9
2024-11-12,04:49,22.4,47.5,262,3.6,41.7
2024-11-12,04:44,29.0,56.4,637,5.3,54.4
2024-11-12,04:39,26.8,42.7,229,7.5,42.0
2024-11-12,04:34,24.5,63.6,705,9.7,39.3
2024-11-12,04:29,22.5,56.2,389,18.4,44.0
2024-11-12,04:24,28.6,44.9,479,14.5,49.1
2024-11-12,04:19,23.6,62.6,752,19.7,43.2
2024-11-12,04:14,22.1,62.9,524,7.9,33.0
2024-11-12,04:09,29.6,53.4,651,9.1,30.8
2024-11-12,04:04,24.7,56.2,458,6.2,58.6
2024-11-12,03:59,26.8,66.4,543,5.0,37.5
2024-11-12,03:54,21.0,69.1,386,4.8,49.4
2024-11-12,03:49,27.9,48.1,310,3.5,46.9
2024-11-12,03:44,22.8,64.8,560,18.9,48.7
2024-11-12,03:39,27.9,56.2,425,2.0,49.1
2024-11-12,03:34,26.6,47.0,787,17.4,48.1
2024-11-12,03:29,26.1,56.7,755,9.6,39.2
2024-11-12,03:24,27.2,66.1,255,2.5,42.3
2024-11-12,03:19,25.7,42.1,777,5.6,31.9
2024-11-12,03:14,25.5,43.4,408,5.4,38.5
2024-11-12,03:09,29.9,55.0,204,18.4,27.5
2024-11-12,03:04,21.4,58.7,642,12.9,42.6
2024-11-12,02:59,21.3,45.1,716,11.4,28.5
2024-11-12,02:54,27.6,41.6,681,8.5,21.8
2024-11-12,02:49,22.8,45.6,346,8.1,29.8
2024-11-12,02:44,27.7,67.2,244,18.0,43.0
2024-11-12,02:39,28.0,60.0,423,19.3,32.0
2024-11-12,02:34,26.6,51.5,377,13.6,23.0
2024-11-12,02:29,27.5,69.8,466,19.9,23.5
2024-11-12,02:24,27.4,63.1,437,4.8,42.3
2024-11-12,02:19,25.1,48.9,318,2.0,33.3
2024-11-12,02:14,23.6,43.7,772,6.2,29.4
2024-11-12,02:09,22.4,53.9,799,17.9,56.1
2024-11-12,02:04,27.4,59.6,532,4.6,51.1
2024-11-12,01:59,22.2,69.6,315,17.5,38.0
2024-11-12,01:54,22.0,50.5,748,7.6,32.4
2024-11-12,01:49,21.3,46.7,400,12.8,36.2
2024-11-12,01:44,24.8,54.8,685,3.9,35.8
2024-11-12,01:39,28.6,56.6,415,9.2,25.9
2024-11-12,01:34,25.2,65.8,679,4.1,46.3
2024-11-12,01:29,20.6,60.0,213,11.1,50.3
2024-11-12,01:24,29.2,66.9,296,11.5,28.5
2024-11-12,01:19,21.6,44.3,735,1.6,48.8
2024-11-12,01:14,25.9,56.4,642,2.1,24.9
2024-11-12,01:09,23.6,64.6,648,3.4,27.6
2024-11-12,01:04,20.8,45.0,592,0.4,30.1
2024-11-12,00:59,21.8,49.3,724,8.5,33.9
2024-11-12,00:54,27.4,66.3,705,16.8,54.2
2024-11-12,00:49,21.4,68.7,648,7.2,27.4
2024-11-12,00:44,28.0,62.8,421,14.0,59.6
2024-11-12,00:39,28.2,63.6,635,19.1,33.6
2024-11-12,00:34,24.6,63.9,640,8.9,55.2
2024-11-12,00:29,28.1,49.3,528,18.0,40.2
2024-11-12,00:24,22.8,56.3,758,12.2,22.6
2024-11-12,00:19,27.0,49.2,411,17.3,30.1
2024-11-12,00:14,24.6,60.0,487,7.7,28.5
2024-11-12,00:09,27.5,54.1,409,7.3,38.2
2024-11-12,00:04,20.8,54.0,556,0.7,59.1
2024-11-11,23:59,20.9,52.9,770,14.5,34.4
2024-11-11,23:54,21.0,61.4,542,3.3,25.5
2024-11-11,23:49,25.0,52.6,714,9.3,45.9
2024-11-11,23:44,26.0,60.9,734,6.5,39.1
2024-11-11,23:39,23.3,52.7,793,1.7,55.7
2024-11-11,23:34,20.2,44.9,436,2.7,40.4
2024-11-11,23:29,20.6,48.0,704,11.8,42.6
2024-11-11,23:24,20.2,48.4,242,9.0,22.5
2024-11-11,23:19,26.7,48.4,334,14.2,39.7
2024-11-11,23:14,28.6,65.5,695,5.4,30.6
2024-11-11,23:09,21.0,44.4,679,18.6,28.3
2024-11-11,23:04,21.1,62.5,500,12.1,32.8
2024-11-11,22:59,25.4,63.5,529,5.4,47.4
2024-11-11,22:54,25.1,44.2,783,7.7,35.7
2024-11-11,22:49,28.5,60.0,479,0.3,29.3
2024-11-11,22:44,26.5,62.1,494,17.8,56.6
2024-11-11,22:39,27.6,52.1,649,1.5,35.0
2024-11-11,22:34,29.0,67.4,610,18.1,22.4
2024-11-11,22:29,20.0,55.2,439,18.8,51.5
2024-11-11,22:24,22.9,43.4,505,12.7,34.8
2024-11-11,22:19,20.7,41.6,679,9.0,49.9
2024-11-11,22:14,20.5,57.3,800,5.0,51.2
2024-11-11,22:09,29.1,65.9,484,1.7,46.3
2024-11-11,22:04,21.8,47.6,295,16.3,36.4
2024-11-11,21:59,23.0,54.0,538,5.7,27.9
2024-11-11,21:54,22.1,57.8,328,0.9,38.6
2024-11-11,21:49,23.5,45.4,498,17.3,35.1
2024-11-11,21:44,23.7,50.8,376,4.4,22.2
2024-11-11,21:39,24.4,42.1,435,8.8,57.1
2024-11-11,21:34,23.9,54.6,417,7.4,20.9
2024-11-11,21:29,29.3,45.4,641,3.9,32.5
2024-11-11,21:24,29.2,45.0,268,18.8,47.7
2024-11-11,21:19,22.3,57.5,568,19.8,22.7
2024-11-11,21:14,23.6,47.7,229,1.5,56.6
2024-11-11,21:09,26.6,66.6,600,14.6,58.2
2024-11-11,21:04,27.1,41.7,662,17.3,59.4
2024-11-11,20:59,22.9,61.1,700,13.3,24.7
2024-11-11,20:54,24.9,55.9,357,14.3,54.6
2024-11-11,20:49,26.3,43.4,269,8.5,34.4
2024-11-11,20:44,23.4,41.2,684,3.1,29.4
2024-11-11,20:39,24.2,57.3,463,6.5,57.7
2024-11-11,20:34,27.0,69.9,325,16.8,32.5
2024-11-11,20:29,25.2,65.6,325,8.1,31.6
2024-11-11,20:24,23.2,54.5,321,7.9,30.5
2024-11-11,20:19,22.7,42.2,572,18.4,27.0
